round	source_label	source_base	source_commit	target	target_commit	target_description	delta_status	path	source_mode	source_blob	target_mode	target_blob	comparison	later_owner	later_commits	invariant	detail
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	engineering/design/agent-interface-2026-09-10/precedent-map.md	100644	183f2072e2939faacc33cc6c8f09f5943cd487a0	100644	183f2072e2939faacc33cc6c8f09f5943cd487a0	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	engineering/design/agent-interface-2026-09-10/precedents.md	100644	b9d6c5a64111cc80554040ba180303634f74fc9d	100644	b9d6c5a64111cc80554040ba180303634f74fc9d	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	engineering/design/agent-interface-2026-09-10/sources-review.md	100644	7f246aac501d1932b992e84eaa83b4dc5ae802eb	100644	7f246aac501d1932b992e84eaa83b4dc5ae802eb	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	engineering/design/atlas/README.md	100644	1f7a8c2801c71e9ac881aee9f93a2bd312b265aa	100644	9e39963827eb41443b27761abd1cc718e160bb9a	authorized_later	ICON	e2ab3f5ef106b6bcbbbb5a7574282a40904d3faf	WK-163 icon source/canonical-family update	later owner/hunk recorded in shared-invariants.tsv
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	engineering/design/home-composition-2026-09-10/README.md	100644	c5d29c981ec4e5875564280dabf50df54a5bd50d	100644	c5d29c981ec4e5875564280dabf50df54a5bd50d	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	engineering/design/home-composition-2026-09-10/material-grammar.md	100644	38bae90f3cc42f9a43d8f533400183efdfe7cc86	100644	38bae90f3cc42f9a43d8f533400183efdfe7cc86	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	engineering/design/skin-injection-2026-09-10/README.md	100644	dde9a87b73b0e6ec38b690748348f1702840d2ba	100644	dde9a87b73b0e6ec38b690748348f1702840d2ba	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	engineering/design/skin-injection-2026-09-10/autonomous-loop.md	100644	0171d04c1d22a1a4965f1d97e4118d8659bbb42f	100644	0171d04c1d22a1a4965f1d97e4118d8659bbb42f	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	engineering/design/skin-injection-2026-09-10/external-index.md	100644	2a8504ed00481976db90435da9f7a753d90b8c01	100644	2a8504ed00481976db90435da9f7a753d90b8c01	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	engineering/design/skin-injection-2026-09-10/input-conversation.md	100644	a9a175e1eb0234a54867be47b50c1e07b3df773b	100644	a9a175e1eb0234a54867be47b50c1e07b3df773b	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	engineering/design/skin-injection-2026-09-10/migration-notes.md	100644	d1037491ccdfff676a827a745ea1360883f41344	100644	d1037491ccdfff676a827a745ea1360883f41344	retained_exact	-	-	source mode/blob equals target mode/blob	-
